AirportName,CancellationCode,Reason,NumCancellations
"Palm Springs, CA: Palm Springs International",B,Weather,10
"Fort Wayne, IN: Fort Wayne International",B,Weather,9
"Green Bay, WI: Green Bay Austin Straubel International",B,Weather,9
"Honolulu, HI: Daniel K Inouye International",A,Carrier,9
"Wilmington, NC: Wilmington International",B,Weather,9
"Lafayette, LA: Lafayette Regional Paul Fournet Field",B,Weather,9
"Mobile, AL: Mobile Regional",B,Weather,9
"Pierre, SD: Pierre Regional",B,Weather,9
"Portland, ME: Portland International Jetport",C,"National Air System",9
"Portland, ME: Portland International Jetport",B,Weather,9
"Boise, ID: Boise Air Terminal",B,Weather,8
"Columbia, SC: Columbia Metropolitan",A,Carrier,8
"Akron, OH: Akron-Canton Regional",A,Carrier,8
"Charleston/Dunbar, WV: Yeager",B,Weather,8
"Key West, FL: Key West International",B,Weather,8
"Lexington, KY: Blue Grass",B,Weather,8
"Moline, IL: Quad City International",B,Weather,8
"Santa Fe, NM: Santa Fe Municipal",B,Weather,8
"South Bend, IN: South Bend International",B,Weather,8
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",B,Weather,8
"Aspen, CO: Aspen Pitkin County Sardy Field",B,Weather,7
"Bismarck/Mandan, ND: Bismarck Municipal",B,Weather,7
"College Station/Bryan, TX: Easterwood Field",B,Weather,7
"Champaign/Urbana, IL: University of Illinois/Willard",B,Weather,7
"Hancock/Houghton, MI: Houghton County Memorial",B,Weather,7
"Mosinee, WI: Central Wisconsin",B,Weather,7
"Panama City, FL: Northwest Florida Beaches International",B,Weather,7
"Gainesville, FL: Gainesville Regional",B,Weather,7
"Saginaw/Bay City/Midland, MI: MBS International",B,Weather,7
"Manchester, NH: Manchester-Boston Regional",B,Weather,7
"Manchester, NH: Manchester-Boston Regional",A,Carrier,7
"Minot, ND: Minot International",B,Weather,7
"Sanford, FL: Orlando Sanford International",B,Weather,7
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",B,Weather,6
"Atlantic City, NJ: Atlantic City International",B,Weather,6
"Alexandria, LA: Alexandria International",B,Weather,6
"Anchorage, AK: Ted Stevens Anchorage International",A,Carrier,6
"Watertown, SD: Watertown Regional",B,Weather,6
"Kalamazoo, MI: Kalamazoo/Battle Creek International",B,Weather,6
"Spokane, WA: Spokane International",B,Weather,6
"Grand Forks, ND: Grand Forks International",B,Weather,6
"Hilton Head, SC: Hilton Head Airport",B,Weather,6
"Huntsville, AL: Huntsville International-Carl T Jones Field",B,Weather,6
"New Haven, CT: Tweed New Haven",B,Weather,6
"Islip, NY: Long Island MacArthur",A,Carrier,6
"Lansing, MI: Capital Region International",A,Carrier,6
"Long Beach, CA: Long Beach Airport",A,Carrier,6
"Meridian, MS: Key Field",B,Weather,6
"Montgomery, AL: Montgomery Regional",B,Weather,6
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",B,Weather,6
"Peoria, IL: General Downing - Peoria International",B,Weather,6
"Santa Barbara, CA: Santa Barbara Municipal",B,Weather,6
"Deadhorse, AK: Deadhorse Airport",B,Weather,6
"Traverse City, MI: Cherry Capital",B,Weather,6
"Texarkana, AR: Texarkana Regional-Webb Field",B,Weather,6
"Waco, TX: Waco Regional",B,Weather,5
"Beaumont/Port Arthur, TX: Jack Brooks Regional",B,Weather,5
"Chattanooga, TN: Lovell Field",B,Weather,5
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",B,Weather,5
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",A,Carrier,5
"Jamestown, ND: Jamestown Regional",B,Weather,5
"Lake Charles, LA: Lake Charles Regional",B,Weather,5
"Lincoln, NE: Lincoln Airport",B,Weather,5
"La Crosse, WI: La Crosse Regional",B,Weather,5
"Kahului, HI: Kahului Airport",A,Carrier,5
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",B,Weather,5
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",B,Weather,5
"Abilene, TX: Abilene Regional",B,Weather,4
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",B,Weather,4
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",A,Carrier,4
"Brownsville, TX: Brownsville South Padre Island International",B,Weather,4
"Bozeman, MT: Bozeman Yellowstone International",B,Weather,4
"Eau Claire, WI: Chippewa Valley Regional",B,Weather,4
"Flint, MI: Bishop International",B,Weather,4
"Longview, TX: East Texas Regional",B,Weather,4
"Hays, KS: Hays Regional",B,Weather,4
"Kona, HI: Ellison Onizuka Kona International at Keahole",A,Carrier,4
"Laramie, WY: Laramie Regional",B,Weather,4
"Lihue, HI: Lihue Airport",A,Carrier,4
"Laredo, TX: Laredo International",B,Weather,4
"Manhattan/Ft. Riley, KS: Manhattan Regional",B,Weather,4
"Muskegon, MI: Muskegon County",B,Weather,4
"Marquette, MI: Sawyer International",B,Weather,4
"Paducah, KY: Barkley Regional",B,Weather,4
"St. Petersburg, FL: St Pete Clearwater International",B,Weather,4
"Pueblo, CO: Pueblo Memorial",B,Weather,4
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",C,"National Air System",4
"State College, PA: University Park",B,Weather,4
"San Angelo, TX: San Angelo Regional/Mathis Field",B,Weather,4
"Springfield, IL: Abraham Lincoln Capital",B,Weather,4
"Trenton, NJ: Trenton Mercer",A,Carrier,4
"Tyler, TX: Tyler Pounds Regional",B,Weather,4
"Aberdeen, SD: Aberdeen Regional",B,Weather,3
"Phoenix, AZ: Phoenix - Mesa Gateway",B,Weather,3
